clip_id,audio_path,composer,work,movement,performer,source,rights,period,genre,ensemble,instrument,family,clip_type,potential_skill_codes,question_count,metadata_confidence
CLIP-36541CB40FFF,modules/instrument-identifier/audio/II095.mp3,Beethoven,Cello Sonata Op. 69 (1),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-36921F8C2C62,modules/instrument-identifier/audio/II129.mp3,Bottesini,Double Bass Concerto No. 2 (1),,,MusOpen,PD,,Concerto,Orchestral,DOUBLE BASS,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-369CA710A8B5,audio/piano/G3.mp3 | audio/piano/G3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,39,high
CLIP-36D960DB602A,audio/piano/A3.mp3 | audio/piano/F3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,9,high
CLIP-3781A65DBAE6,audio/piano/As3.mp3 | audio/piano/Ds4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-37A7379871C1,modules/instrument-identifier/audio/II118.mp3,,Op. 5 No.2 (2),,,MusOpen,PD,,,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-385B207ACD7E,modules/texture-trainer/audio/TT068.mp3,,"J. S. Bach — Partita in A minor for solo flute, BWV 1013 — I. Allemande",,"Scott Goff, flute",https://commons.wikimedia.org/wiki/File:Bach_-_Partita_For_Solo_Flute_-_Modern_Flute_-_1._Allemande.ogg,CC BY-SA 2.0 / EFF Open Audio-compatible,,,,,,Monophonic texture,TEX.TYPE,1,medium
CLIP-38BA71B3507B,modules/texture-trainer/audio/TT134.mp3,,William Byrd — Mass for Four Voices – Sanctus,,Ensemble Morales,https://commons.wikimedia.org/wiki/File:Byrd_4-Part_Mass_-_Sanctus.ogg,CC BY 3.0,,Sacred choral,,,,Advanced polyphonic,TEX.TYPE,1,high
CLIP-391DE188E382,audio/piano/D4.mp3 | audio/piano/As3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,8,high
CLIP-3986F4D1EC56,audio/piano/B3.mp3 | audio/piano/E4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-39A78E100F57,modules/instrument-identifier/audio/II121.mp3,Bottesini,Double Bass Concerto No. 2 (2),,,MusOpen,PD,,Concerto,Orchestral,DOUBLE BASS,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-3A43794AE92E,modules/instrument-identifier/audio/II092.mp3,Beethoven,Cello Sonata Op. 69 (3),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-3A5C04740CDB,modules/texture-trainer/audio/TT140.mp3,,Scottish traditional — The Skye Boat Song,,Clan Stewart Pipe Band,https://commons.wikimedia.org/wiki/File:Skye_Boat_Song.ogg,CC BY-SA 2.0 / EFF Open Audio Licence,,Song,,,,Pedal / drone,TEX.TYPE,1,high
CLIP-3AA5815D2BB3,audio/piano/E4.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-3ACFF6CE24F8,modules/instrument-identifier/audio/II221.mp3,Andersen,24 Etudes for Flute Op. 15 (6),,,MusOpen,PD,,Study,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-3B0B57D23E49,modules/instrument-identifier/audio/II060.mp3,Elgar,Cello Concerto Op. 85 (4),,,MusOpen,PD,,Concerto,Orchestral,CELLO,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
